RI	RI+e	Ideal-Replication
31682194	26458169	25233542
34239434	34573364	32766011
34815874	33454986	32580315
34581554	34827939	34009938
34483341	33224754	33129257
34965597	34765570	33984256
35451074	34565441	32766602
35114751	34036875	34302493
34363741	34303693	33034928
34653720	34120900	32369991
34775097	34429238	32134078
34439151	33696503	32378313
34389350	34675157	33245763
34977338	33922108	32519859
34494974	33408379	32121960
34940588	34128330	33026604
35165169	34157415	32507311
34871017	33598650	32460355
33936970	34273360	33483854
33715930	33968960	34235800
33161919	32961516	33861963
32793927	33901580	33271869
33220328	32973384	33688613
33236040	33971556	33654430
33478092	34117780	34172075
32926959	34523114	33485659
32510545	35156453	33868145
33140807	35348816	34105714
32790035	34271222	32913738
32470326	34843181	34176817
32940430	34897241	33358619
33308318	33871563	33975492
34000930	35385428	33925974
33278390	35359741	33836584
34534500	35115010	33312834
34210291	35329347	34309742
34045670	35236491	34362548
34599262	35485241	34541908
33658134	34726177	33743849
34465288	35096031	33817315
33548254	34987789	33876853
34546479	34711917	34798307
33284781	34999875	34555205
34331015	34341897	33608858
33441427	35021203	34627945
34464848	34013420	34369162
33703805	34157345	34126559
33834856	33838634	34602770
34541312	34291976	33239564
33645032	34652532	33835130
26489532	28639139	27894843
12158625	11297642	15263384
12036062	11683513	14857269
11922245	11382642	14702221
12046092	11957734	14770180
11833739	12132335	14577756
11858135	12129844	14580468
11875741	11911737	14785602
12000161	13070210	14589322
12015774	12983348	14411346
11679087	12878450	14441621
11836466	12759572	14465114
11805792	12985824	14429999
11712104	13006614	14667877
11663592	12907269	14446819
11483963	12855387	14680739
11161043	12562607	14253777
11327307	12432663	14449014
11398291	12206839	14281089
11176929	12046671	13827445
11312173	12202459	13772346
11342977	12203396	13760490
11318770	12317981	13725869
11481405	12314048	14224625
11192198	12448860	13606988
11236439	12166952	13927966
10909424	12331506	13969016
9668010	12297796	14156668
9332446	12276031	14077967
10059663	12405528	13993817
10166665	12134169	13623746
9961814	12176072	13553996
11318388	12252379	13441293
14218735	12187923	13572917
15182870	12019844	13338138
15967151	12194634	13862194
15947526	12005985	13437840
16199759	11901173	13627687
15250711	12184135	13636840
14734582	12213988	12849775
14388002	12074531	13067875
15656072	12310130	13154256
15022858	12054770	13087309
14506743	12233906	13169707
15862201	12124201	13369166
14992256	12093799	13687063
14576012	12098784	12230318
15065032	11928997	12554562
14868519	11897804	12542000
14851706	11727349	12625707
15762605	11991603	11829957
15861633	11651478	12271891
15923564	12030144	12449047
16065253	11938613	13063307
16158675	12130157	14408196
16325205	12132998	15679225
16478878	11971247	16029951
16487872	12112521	16051977
16590940	11729690	15309975
16571142	11664759	15481254
16690038	11659266	15736500
16920493	11700686	14887317
16936315	11715116	15014464
17013975	12234838	14608177
16961646	12165361	15428058
17342958	12033911	15859532
17378483	11951276	15914735
17813226	12604828	18016829
17158082	12105929	20329264
18380727	12167226	23791510
17188592	12607292	23287604
18641629	12276069	25223416
18022271	12939734	27706940
18079050	12384845	28238528
17310370	12391463	28662074
19988470	13006231	28632005
18933133	12817073	28753735
22298846	13543545	28835030
21904279	13442162	28531134
22138170	12852457	28849704
21936520	12720097	28597615
22291106	12842519	28260474
21361742	12989340	27966677
22089357	13907215	28830042
22144897	14093282	28657252
22082854	13571881	28730067
22260649	14157457	29035136
22225333	13558759	28472912
22438675	14571095	29372017
22021847	14620475	28660423
22360054	14197096	28548573
22210065	15404235	26777332
21901664	15126446	26234304
22019685	14700492	29213909
22113404	15690281	26646734
22489183	15590126	26940888
21863663	15155802	29223744
22376475	15776809	26647814
22153443	16442008	29702535
22733147	16545328	26582884
22486387	15125563	28026198
22129671	17247778	28895787
21662736	15930981	27240266
22510445	18120347	30017256
22495644	17086939	26168474
22078461	17447710	29858821
22360209	17415322	27750335
22501100	16760489	27409012
22261744	16965534	30854436
22361219	17907068	27591968
22213776	18358510	30864102
22016354	18657322	27879336
22176341	18472951	31347461
21841347	18709042	31486552
22137171	19099318	27783882
22238733	19442581	27486739
22084825	20579646	28323629
22184725	21715163	28827931
22271342	22332450	30752444
22351193	24658151	28766887
22758897	25209414	28717592
22452772	25026979	28643405
22446658	25254227	28858538
22593401	25211283	28955368
22162393	24906234	32606810
22188313	26292935	29218134
22391281	29276507	29507168
22634958	30491774	29601562
22316775	30571223	29913412
22624357	30810279	33133625
22556484	30476654	30633538
22390704	31037692	29555272
22634343	30773946	29727187
21946640	29588381	28837674
22242334	30740958	29725331
22423580	30581011	33583711
22415704	30653426	29620186
22564775	30353582	32517808
22501394	30861292	34075474
22268347	31043878	32617977
22243214	30341094	33002548
22338217	30367086	32764251
22252956	30419018	34238496
22411519	30567223	34372151
22367686	30896257	33465432
21804059	30437795	35201339
22392274	30294593	33751696
22109874	30513518	34927799
22137166	30839088	33751446
22365690	30502674	34522971
22401734	30652618	33381603
22276145	30800770	34776161
22649097	30901431	34054517
22385617	30900811	34738071
22522451	31039898	33411761
22457865	27661752	34855192
22392981	30655804	34864342
22201052	31357251	33529525
22401488	31171195	34594714
22187914	31544328	34661324
22605536	28598147	33676655
22017091	31520713	35091745
22863163	31687284	33810203
22543913	28782014	33514692
21739357	28870677	34021474
22461855	31977436	34357554
22576375	31702553	33665442
22545555	32078147	33671790
22413403	28591802	33619468
22707393	32836441	34528610
22453679	29160793	33799484
22743508	33136798	33556900
22499146	29393411	34929653
22278596	33005816	33825551
22173091	33084701	33682440
22288235	29819840	34105039
22368657	33363605	35290061
22650518	30091831	34024842
22076946	33595727	33202537
22064290	30583293	34910179
22298761	34462342	34028455
22350713	33707895	34437775
22259043	29940334	34822833
22806769	34654705	34966771
22415508	32905171	34068253
22016068	35084580	35123779
22382796	33959858	35004653
22172840	34459563	33535384
22386248	33684868	34523031
22505278	35126568	33851853
22679136	34988829	35272497
22150317	35050172	33688613
22519007	33531347	33480132
21969485	34766803	33555448
22149659	33668129	34548185
22160885	34349989	33226145
22348046	35025545	34744214
22432142	34641620	33488743
22571773	34549940	34914726
22613398	32823227	33589340
22867544	35386493	35030281
22443555	35031300	33768964
22698553	34608363	35124779
22516553	33838027	33954750
22470622	33978540	35324966
22442240	34957163	33645790
22376430	34233526	35099135
22135015	35406389	33040298
22413664	35377091	34953595
22444210	33645654	33575896
22519722	34560388	35178578
22047507	33807083	33075006
22195080	34944019	35014348
22137078	35132911	33118033
22125641	35198427	34727829
22236122	33471402	33608960
22307133	34680364	35008918
22685227	34798379	33366889
22712684	34674989	33008017
22318474	34173278	33382394
22590793	34651595	34985230
22527261	33818504	33151508
22453820	35114406	34816650
22594953	34905865	33558015
22483369	35118512	34761461
22790048	34835680	35253870
22593345	34358286	33513659
22659068	35220171	35248042
22187870	35127518	34848815
22238728	34715423	33320094
22676174	34619146	35081023
22444024	33123013	33614676
22485340	33966156	33474517
22523628	34713001	33034645
22934596	34747993	34940405
22800451	34953705	33911915
22747994	34781882	33873663
22512361	33219732	35013343
22597092	35061699	33522410
22818151	34221249	35104828
22515742	35020823	33708656
22803030	34868196	34546467
22939894	33871644	33814125
22524886	35018505	35431516
22748304	34045149	34274957
22840661	34500460	34277284
22524572	34404115	33553443
22763269	34522864	33659595
22511003	34259821	34987213
22709971	35279491	33500893
22624188	34351783	33287529
22741811	34937915	32163141
22628212	34807246	34696777
22345140	34708242	32880254
22085161	35328461	33375308
22432484	34435095	33499580
22971401	34826459	35150311
22990154	35086500	33463607
22571065	35178219	33094895
23053224	34301704	34680509
22800560	34125325	33761416
22664522	34770284	35151917
22512082	34083081	33240824
22339544	35016899	34736008
22198090	34022631	33716339
22881598	35236739	35126666
22092543	35259637	33604849
22596316	34690879	35030404
21750573	33813587	32872429
22616646	34219199	35033448
22218361	34540548	33894122
22680221	35160594	34787472
22329383	35461256	35016948
22220656	35367995	33694811
22540788	35316857	34702906
22669928	34370332	33642621
22410987	35265569	35084961
22211452	35207350	33879263
22533962	35342507	34814407
22522309	34406849	35123002
22670724	35095218	34496164
22006465	35266141	34946803
22802760	34928347	34578325
22378198	33524220	34576377
22667240	34939233	34574930
22908924	34157835	34702990
22376680	35256989	34706266
22889564	34450588	34729083
22079885	35003159	35006982
22635839	33357250	34535800
22643943	35120042	35110399
22735519	34319127	34280080
22539005	34648089	34681339
22697925	35271452	35122768
22333727	35061994	35279590
22460503	35220618	35203780
22342948	34154276	35089578
22384389	34163273	34709591
22447767	34421512	34552972
22822020	35266240	35436451
